Sr_No,Location_Coordinates,Hospital_Name,District,Address_First_Line,State,Pincode,Telephone,,,
16,"14.6723351, 77.6018211",Mnr Nursing Home,Anantapur,"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,515001,0,,,
17,"14.6867872, 77.5832307",Mythri Hospitals,Anantapur,D No: 15/721 Kamala Nagar,Andhra Pradesh,515001,"08554    274630, 245014, 9441074096",,,
18,"15.3474564, 75.1253824",Padmavathi Hospital,Anantapur,"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,515001,08554  249966,,,
19,"14.6742267, 77.6025251",Pavani Multi Speciality Hospital,Anantapur,"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,515001,0,,,
20,"14.6818877, 77.6005911",Prasanthi Nursing Home,Anantapur,"#346, Court Road",Andhra Pradesh,515001,0,,,
21,"14.6723351, 77.6018211",Priya Multispeciality Hospital,Anantapur,"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,515001,231908,,,
22,"14.6805847, 77.6000775",Ravitej Nursing Home,Anantapur,"15-16, Kamala Nagar",Andhra Pradesh,515001,0,,,
23,"13.9860276, 77.7658783",Santhi Nursing Home,Anantapur,"Near R.T.C, Bus Stand",Andhra Pradesh,515001,0,,,
24,"14.72422, 77.4306738",Sri Prakash Eye Hospital,Anantapur,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",Andhra Pradesh,515001,08554  22106,,,
25,"14.6818877, 77.6005911",Sri Sai Balaji Hospital,Anantapur,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,515001,0,,,
26,"13.6340453, 79.4157431",Sri Sai Kurpa Nursing Home,Anantapur,"10/368, Sarojini Road",Andhra Pradesh,515001,08554    274564,,,
27,"14.6818877, 77.6005911",Sri Sai Venkateshwara Surgical Clinic,Anantapur,Anantapur,Andhra Pradesh,515001,0,,,
28,"14.9093514, 78.0060388",Sudhir Surgical Clinic,Anantapur,Hospital Road,Andhra Pradesh,515001,220092,,,
29,"14.6755437, 77.6036802",Suma Eye Clinic,Anantapur,"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,515001,0,,,
30,"14.6755437, 77.6036802",Swetha Ent Hospital,Anantapur,"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,515001,0,,,
31,"14.72422, 77.4306738",Vaatsalya Hospital(Ananthapur),Anantapur,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Andhra Pradesh,515001,277077,,,
32,"19.0627033, 72.9297396",Varun Children's Hospital,Anantapur,"D. No.14/224, Kamala Nagar",Andhra Pradesh,515001,0,,,
33,"14.6818877, 77.6005911",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Anantapur,"7/201, Court Road",Andhra Pradesh,515001,0,,,
34,"14.6607456, 77.6085681",Vijaya Nursing Home,Anantapur,Navodaya Colony,Andhra Pradesh,515001,220912,,,
35,"14.72422, 77.4306738",Divyasree Hospital,Anantapur,Adimurthy Nagar Guild Of Service Road,Andhra Pradesh,515002,08554  274322,,,
36,"13.0433764, 80.1622367",Mamatha Nursing Home,Anantapur,"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,515004,08554  275152,,,
37,"14.6735546, 77.6081894",Anantapuram Praja Vaidyasala,Anantapur,"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,515005,0,,,
38,"14.6818877, 77.6005911",Balaji Nursing Home,Anantapur,M.F. Road,Andhra Pradesh,515201,0,,,
39,"14.6818877, 77.6005911",Dr B V Syamala Ratnam Hospiatal,Anantapur,"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,515201,0,,,
40,"14.178135, 77.2728241",Girish Multispeciality Hospital,Anantapur,"#18-1-167, M F Road, Hindupur",Andhra Pradesh,515201,0,,,
41,"13.8358978, 77.5046101",Shilpa Hospital,Anantapur,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,515201,08556 220728,,,
42,"13.8185378, 77.4988753",Sreenivasa Nursing Home,Anantapur,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,515201,0,,,
43,"13.8371751, 77.4878898",Teja Nursing Home,Anantapur,R.P and G.T Road Hindupur,Andhra Pradesh,515201,0,,,
44,"14.910003, 78.0005407",Sharada Nursing Home and Falvia P Reddy Diagnostic,Anantapur,"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,515411,0,,,
45,"14.9070274, 78.0092703",Sri Kanchani Hospital,Anantapur,"C.B Road, Tadpatri",Andhra Pradesh,515411,0,,,
46,"14.72422, 77.4306738",Sri Veja Hospital,Anantapur,"14/10-3, Bukkapatnam Street,",Andhra Pradesh,515411,0,,,
47,"14.72422, 77.4306738",Azad Diabetic Centre,Anantapur,"Near Andhra Bank, Byepass Road , Kadiri",Andhra Pradesh,515591,0,,,
48,"14.4137447, 77.7126189",Devi Nursing Home,Anantapur,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,515671,0,,,
49,"14.4068919, 77.7125679",Spandana Hospital,Anantapur,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,515671,08559  225919,,,
50,"15.1622611, 77.3826845",Preethi Nursing Home,Anantapur,"Thilak Nagar, Guntakal",Andhra Pradesh,515801,0,,,
51,"13.2026484, 79.0032253",Babu Nursing Home - Chittoor,Chittoor,"2-1254/1 , Officecers Line, Kongareddipalli",Andhra Pradesh,517001,229940/200345,,,
52,"13.2026484, 79.0032253",Dr. Agarwals Eye Hospital Ltd.,Chittoor,"22-339/2, Opposite Sbi Colony, Kongareddy Patte",Andhra Pradesh,517001,0,,,
53,"13.217176, 79.1003289",Dr. Ramalakshmi Nursing Home,Chittoor,"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,517001,0,,,
54,"13.217176, 79.1003289",Dr. V. K. R. Nursing Home and Scan Centre,Chittoor,"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,517001,0,,,
55,"28.6481837, 77.3709431",Lakshmi Hospital,Chittoor,"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,517001,0,,,
56,"13.2026484, 79.0032253",Ravi Nursing Home - Chitoor,Chittoor,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Andhra Pradesh,517001,232235,,,
57,"39.5988355, -77.932359",S.M.Clinic,Chittoor,"# 2-1250, Officers Lane",Andhra Pradesh,517001,0,,,
58,"13.217176, 79.1003289",Sreelatha Modern Eye Hospital And Research Centre,Chittoor,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,517001,"08577    222121, 226660,",,,
59,"13.65, 78.933333",Sujatha Nursing Home,Chittoor,"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,517001,0,,,
60,"13.2026484, 79.0032253",Apollo Hospitals Aragonda,Chittoor,Aragonda Thavanampalle Mandal,Andhra Pradesh,517129,"08573  283220, 283221",,,
61,"13.36592, 78.5750141",Balaji Hospital,Chittoor,Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,517247,08581    252867,,,
62,"13.36592, 78.5750141",Vijaya Nursing Home,Chittoor,Gokul Theater Road Punganur Punganur,Andhra Pradesh,517247,08581    253129,,,
63,"13.5508703, 78.50597",Balaji Multi Speciality Hospital,Chittoor,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,517325,08571  227799,,,
64,"13.5603491, 78.5036065",Bhavya Child Care Center,Chittoor,Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,517325,08571    221444,,,
65,"13.5508703, 78.50597",Bhavyas Children Hospital,Chittoor,R T C Bus Stand Madanpalle,Andhra Pradesh,517325,0,,,
66,"13.5603491, 78.5036065",Chandra Mohan's Nursing Home,Chittoor,14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,517325,08571    222167,,,
67,"13.5603491, 78.5036065",Desai Hospital,Chittoor,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,517325,0,,,
68,"14.4656511, 78.8330438",Desai Hospital-Madanapalli,Chittoor,"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,517325,"08571    223144, 223257",,,
69,"18.4328566, 79.1303578",Emergency Hospital,Chittoor,"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,517325,0,,,
70,"13.217176, 79.1003289",Gupta Nursing Home,Chittoor,C.T.M.Road,Andhra Pradesh,517325,0,,,
71,"13.5529488, 78.5086376",Kathasagaram Hospitals,Chittoor,"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,517325,0,,,
72,"13.217176, 79.1003289",Leo Hospital,Chittoor,",,C.T.M.Road",Andhra Pradesh,517325,0,,,
73,"13.5657237, 78.5066868",M.V.L Hospital,Chittoor,C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,517325,0,,,
74,"13.553374, 78.5065719",Madanapalle Hospital Pvt Ltd,Chittoor,"C.T.M Road, Madanapalle",Andhra Pradesh,517325,08571  223565,,,
75,"30.3145962, 78.0357476",Popular Nursing Home,Chittoor,"Gandhi Road,,Gandhi Road",Andhra Pradesh,517325,0,,,
76,"13.5603491, 78.5036065",Rama Orthopaedic Nursing Home,Chittoor,"Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,517325,0,,,
77,"13.553374, 78.5065719",Shantharam Hospital,Chittoor,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",Andhra Pradesh,517325,0,,,
78,"13.2026484, 79.0032253",Siloam Eye Centre,Chittoor,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle",Andhra Pradesh,517325,0,,,
79,"13.2026484, 79.0032253",Siloam Orthopaedic and Trauma Centre,Chittoor,"# 14-26, Old Andhra Bank Building,,C.T.M.Road",Andhra Pradesh,517325,0,,,
80,"14.6818877, 77.6005911",Sri Kaveri Speciality Hospital,Chittoor,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",Andhra Pradesh,517325,0,,,
81,"13.5603491, 78.5036065",Usha Speciality Hospital,Chittoor,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,517325,0,,,
82,"13.5603491, 78.5036065",Viswa Orthopaedic Hospital,Chittoor,"D No 11-70, Patel Road Madanapalli",Andhra Pradesh,517325,08571    221646,,,
83,"13.2026484, 79.0032253",Saraswathi Maternity Nursing Home,Chittoor,"Borugulabatti, Thasildhar Street Newpet",Andhra Pradesh,517408,0,,,
84,"12.7279579, 78.3512397",P E S Institute Of Medical Sciences and Research,Chittoor,Kuppam Palmaner Road,Andhra Pradesh,517425,"08570  256666, 256655",,,
85,"12.7510218, 78.340196",Rathna Childrens and General Hospital,Chittoor,"Palace Road, Kuppam",Andhra Pradesh,517425,0,,,
86,"12.7470314, 78.3330157",Sri Priya Nursing Home,Chittoor,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",Andhra Pradesh,517425,08570    255136,,,
87,"13.6403071, 79.4176391",Apollo Multispeciality Hospital,Chittoor,"D.No :10-15-189/I2, K.K. Layout, Tirupati",Andhra Pradesh,517501,0,,,
88,"13.2026484, 79.0032253",Apollo Rural Hospitals,Chittoor,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Andhra Pradesh,517501,"283220, 283221",,,
89,"13.6320156, 79.4260025",Asalatha Medicare Pvt Lt,Chittoor,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",Andhra Pradesh,517501,0,,,
90,"13.217176, 79.1003289",Balaji Institute Of Surgery Research And Rehabilit,Chittoor,Tirupti (B.I.R.R.D),Andhra Pradesh,517501,0,,,
91,"13.6344095, 79.425573",Balaji Orthopaedic And Trauma Hospital,Chittoor,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",Andhra Pradesh,517501,0877    2222700,,,
92,"13.6338436, 79.4210045",Bhaskar Allergy and Chest Hospital,Chittoor,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",Andhra Pradesh,517501,0,,,
93,"13.6338782, 79.4195997",Clinic Nisha,Chittoor,"398A, Doddapuram Street, Tirupati",Andhra Pradesh,517501,2228761,,,
94,"13.6244611, 79.4310052",Dbr And Sk Super Speciality Hospital,Chittoor,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road",Andhra Pradesh,517501,"0877    6667999, 6561981",,,
95,"13.6287557, 79.4191795",Eye Care Centre and Contact Lens Clinic,Chittoor,Nehru Nagar Behind Jyothi Talkies Tirupati,Andhra Pradesh,517501,0,,,
96,"13.2026484, 79.0032253",Gayatri Hospital Tirupati,Chittoor,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Andhra Pradesh,517501,2253714,,,
97,"13.6361446, 79.4204532",Harshitha Hospital,Chittoor,"10-13-568,,Reddy and Reddy Colony",Andhra Pradesh,517501,0,,,
98,"13.2026484, 79.0032253",Lotus Emergency Hosptial,Chittoor,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Andhra Pradesh,517501,0877  2252962,,,
99,"13.6781837, 79.352188",M S Hospital,Chittoor,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,517501,0877  228 2459,,,
100,"13.6287557, 79.4191795",M.M Hospital,Chittoor,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",Andhra Pradesh,517501,0,,,
101,"13.2026484, 79.0032253",M/S Sapthagiri Eye Care Centre,Chittoor,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",Andhra Pradesh,517501,2280488,,,
102,"13.6302513, 79.4118237",Manohari Nursing Home,Chittoor,"548, R.R. Colony,Tirupati",Andhra Pradesh,517501,0,,,
103,"13.6287557, 79.4191795",Meghana Hospital,Chittoor,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,517501,0,,,
104,"13.2026484, 79.0032253",Mother Hospital,Chittoor,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Andhra Pradesh,517501,0877    2286112,,,
105,"13.217176, 79.1003289",Navya Netralaya Eye Hospital,Chittoor,2-2-349 K.V. Layout,Andhra Pradesh,517501,0,,,
106,"13.6390013, 79.4272041",Neelima Maternity Nursing Home,Chittoor,"18-2-246 , Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,517501,0,,,
107,"13.6287557, 79.4191795",Nirmala Hospitals,Chittoor,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",Andhra Pradesh,517501,0,,,
108,"13.6361446, 79.4204532",Om Children Surgical Superspeciality Centre,Chittoor,"10-13-486, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,517501,0,,,
109,"13.6287557, 79.4191795",Prameela Hospital,Chittoor,10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,517501,0,,,
110,"13.6338436, 79.4210045",Prashanth Hospital,Chittoor,"#: 410, Tilak Road Tilak Road Tirupati",Andhra Pradesh,517501,"0877    22454333, 2252466,",,,
111,"13.2026484, 79.0032253",Purna's Remedy Hospital - Tirupathi,Chittoor,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati",Andhra Pradesh,517501,3253250,,,
112,"13.6244611, 79.4310052",Raghavendra Urological Super Speciality Hospital (Russh Hospital),Chittoor,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati",Andhra Pradesh,517501,"0877    2220487, 2227385, 2224725",,,
113,"13.6361446, 79.4204532",Rama Nursing Home,Chittoor,"535, Reddy and Reddy Colony , Tirupati",Andhra Pradesh,517501,0,,,
114,"13.2026484, 79.0032253",Ramadevi Multi Super Speciality Hospital,Chittoor,"16-2-156, Sairam Street, Tirupathi",Andhra Pradesh,517501,0,,,
115,"13.6365271, 79.4127143",Ramya Hospital,Chittoor,"-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,517501,0,,,
116,"13.6287557, 79.4191795",Ravi Neuro and Emergency Hospital - Chittoor,Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,517501,2222369,,,
117,"13.6361446, 79.4204532",Sakthi Medicals,Chittoor,"548, Reddy and Reddy Colony,Tirupati",Andhra Pradesh,517501,0,,,
118,"13.6368739, 79.4144319",Shyamala Nursing Home,Chittoor,"101, Sarojinideavi Road, Tirupati",Andhra Pradesh,517501,2286522,,,
119,"13.6157076, 79.4125828",Sree Emergency and Crticial Care Hospital,Chittoor,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,517501,0,,,
120,"13.6361446, 79.4204532",Sri Chakra Hospitals,Chittoor,"10-13-496, , Reddy and Reddy Colony, Tirupati",Andhra Pradesh,517501,0,,,
121,"23.0866456, 72.5630236",Sri Padmavathi Multi Speciality Hospital,Chittoor,"6-1-46, R.S.Gardens Tirupati",Andhra Pradesh,517501,0,,,
122,"13.6388217, 79.4204627",Sri Ramadevi Multi Super Speciality Hospital,Chittoor,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,Andhra Pradesh,517501,"0877    2287437, 2287156,",,,
123,"13.2026484, 79.0032253",Sri Sai Ortho Care,Chittoor,"6-2-105, Old Maternity Road, Beside Rajanna Park",Andhra Pradesh,517501,0,,,
124,"13.6361446, 79.4204532",Sri Sai Sudha Hospitals,Chittoor,"521, Reddy and Reddy Colony, Chittor, Tirupati",Andhra Pradesh,517501,0,,,
125,"13.217176, 79.1003289",Sri Suraksha Hospital,Chittoor,Tirupati,Andhra Pradesh,517501,0,,,
126,"13.217176, 79.1003289",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Chittoor,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,Andhra Pradesh,517501,2253322,,,
127,"13.6287557, 79.4191795",Sri Venkateshwara Institute Of Medical Sciences,Chittoor,Tirupati,Andhra Pradesh,517501,0,,,
128,"26.896961, 75.792554",Sri Venkateswara Hospitals,Chittoor,"No. 20-03-88G, Siva Jyothi Nagar",Andhra Pradesh,517501,0877 2281111,,,
129,"13.2026484, 79.0032253",Sri Vignesh Hospital,Chittoor,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Andhra Pradesh,517501,0,,,
130,"13.6287557, 79.4191795",Srinivasa Super Speciality Hospital,Chittoor,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,517501,0,,,
131,"13.6361446, 79.4204532",Suguna Nursing Home,Chittoor,"515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,517501,0,,,
132,"13.6095995, 79.4489169",Sviss Hospital,Chittoor,"326,Nethaji Road,Tirupati",Andhra Pradesh,517501,6668633,,,
133,"13.6287557, 79.4191795",Swaranamrutha Hospital,Chittoor,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,517501,2286602,,,
134,"13.2026484, 79.0032253",Swarnamrutha Hospital,Chittoor,"Opp Bhavani Nagar Circle, Maternity Road",Andhra Pradesh,517501,0877  2286602,,,
135,"13.2026484, 79.0032253",Swetha Childrens Hospital,Chittoor,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street",Andhra Pradesh,517501,2222228,,,
136,"13.6361446, 79.4204532",Triveni Child Care Hospital,Chittoor,"525,Reddy  and Reddy Colony,Tirupathi",Andhra Pradesh,517501,0,,,
137,"13.2026484, 79.0032253",Vaishnavi Children Hospital,Chittoor,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati",Andhra Pradesh,517501,0,,,
138,"13.2026484, 79.0032253",Vasan Healthcare Pvt Ltd,Chittoor,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Andhra Pradesh,517501,0877  2220552,,,
139,"13.6358027, 79.420805",Venkataramana Heart And Maternity Hospital,Chittoor,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",Andhra Pradesh,517501,0877    2258183,,,
140,"13.639101, 79.4177213",Vision Care Clinic,Chittoor,"6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,517501,0,,,
141,"13.6335087, 79.4170539",Elite Hospital,Chittoor,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",Andhra Pradesh,517502,0877  2251000,,,
142,"13.217176, 79.1003289",Maha Hospitals,Chittoor,13-7-936/6 Tuda Road,Andhra Pradesh,517502,0877  2266601,,,
143,"28.6779455, 77.3103012",Vennela Super Speciality Eye and Dental Hospital,Chittoor,"502,B, 1St Floor, Opp Sbi Kt Road",Andhra Pradesh,517502,2228266,,,
144,"13.2026484, 79.0032253",Radha Narayan Hospital For Women And Children,Chittoor,"19-4-395, Bairagipatteda North, Tirupati",Andhra Pradesh,517505,240522/41031,,,
145,"13.6452591, 79.419089",Manasa Kidney Foundation,Chittoor,"K. T. Road, Tirupati",Andhra Pradesh,517507,0,,,
146,"13.6370231, 79.4206271",Rushh Hospital,Chittoor,"V.V.Mahal Road, Tirupathi",Andhra Pradesh,517507,22227385,,,
147,"13.2026484, 79.0032253",S V Poly Clinic,Chittoor,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",Andhra Pradesh,517507,"2286077,2287675  0",,,
148,"13.2026484, 79.0032253",Sneha Super Speciality Hospital,Chittoor,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati",Andhra Pradesh,517507,0,,,
149,"13.6287557, 79.4191795",Swarna E.N.T Super Speciality Hosptial,Chittoor,"6-1-12A, Beside Old Maternity Hospital, Tirupati",Andhra Pradesh,517507,0,,,
150,"13.633255, 79.4552064",Swarnamurtha Hospital,Chittoor,"91,Old M.H.Road,1/1,Tirupathi",Andhra Pradesh,517507,0,,,
151,"12.7686756, 75.2070644",Sri Sai Nursing Home,Chittoor,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur",Andhra Pradesh,517583,222765,,,
152,"13.3200519, 79.585628",C.S.I. Hospital,Chittoor,Nagari-517590,Andhra Pradesh,517590,0,,,
153,"13.2026484, 79.0032253",Annapurna Hospital ( Ramarao Hospital),Chittoor,"# 6/420, Babu Agraharam,Babu Agraharam",Andhra Pradesh,517644,0,,,
154,"13.7392101, 79.7119419",Chaitanya Childrens Hospital,Chittoor,"Door No-7/370, Nagarchipalem, Srikalahasti",Andhra Pradesh,517644,0,,,
155,"13.217176, 79.1003289",Eswari Nursing Home,Chittoor,"# 7-723,Kothapet",Andhra Pradesh,517644,0,,,
156,"13.217176, 79.1003289",Sai Kanthi Eye Hospital,Chittoor,Kothapet,Andhra Pradesh,517644,0,,,
157,"22.5657131, 88.3557301",Vani Priya Hospital,Chittoor,"V R Temple Street, Nehru Road",Andhra Pradesh,517644,0,,,
158,"18.0681034, -77.842617",Abhishek Kidney and General Hospital ( Kcm Hospital),Y.S.R.,"3/224, Upendra Complex, Christian Lane",Andhra Pradesh,516001,08562  250762  0,,,
159,"18.0681034, -77.842617",Ashwini Childrens Hospital,Y.S.R.,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital",Andhra Pradesh,516001,251699,,,
160,"14.480391, 78.8340173",Balaji Nursing Home,Y.S.R.,"6/1565, Sankara Puram",Andhra Pradesh,516001,08562  247843,,,
161,"18.0681034, -77.842617",Bharathi Hospital,Y.S.R.,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally",Andhra Pradesh,516001,0,,,
162,"18.0681034, -77.842617",G. S. R. Heart Care Centre - Cuddapah,Y.S.R.,Opposite Old Municipal Office,Andhra Pradesh,516001,249478,,,
163,"17.6651796, 75.8970483",Jyothi Nursing Home,Y.S.R.,3/374 Railway Station Road Railway Station Road,Andhra Pradesh,516001,08251    246975,,,
164,"19.0266349, 72.8594614",K.C.M. Hospital,Y.S.R.,"#3/224, Upendra Complex",Andhra Pradesh,516001,242929,,,
165,"18.0681034, -77.842617",Likhith Laparoscopic Centre,Y.S.R.,"2/402, R.S Road, Opposite Csi Church",Andhra Pradesh,516001,0,,,
166,"14.4701485, 78.8297701",Palla Krishnaiah Memorial And Nursing Home,Y.S.R.,21/188 and 21/187 Christian Lane,Andhra Pradesh,516001,08562    246088,,,
167,"18.0681034, -77.842617",Pasupuleti Nursing Home,Y.S.R.,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta",Andhra Pradesh,516001,0,,,
168,"18.0681034, -77.842617",Priyatham Clinic,Y.S.R.,"Opp:Municipal Water Tank, Near Old Govt Hospital",Andhra Pradesh,516001,0,,,
169,"18.0681034, -77.842617",Sita Lakshmi Nursing Home,Y.S.R.,"21/628, Salt Felt Road",Andhra Pradesh,516001,0,,,
170,"18.0681034, -77.842617",Siva Yogi Childrens Hospital,Y.S.R.,"Beside Sri Rama Temple, Nagaraju Pet",Andhra Pradesh,516001,221729,,,
171,"14.4701485, 78.8297701",Sri Krishna Sahithi Eye Hospital,Y.S.R.,3/137 Christian Lane Christian Lane,Andhra Pradesh,516001,08562    252844,,,
